Country,GDP_perc,Case_death_ratio
Barbados,47.96725998,54.15
Papua New Guinea,13.67423416,146.65
Belize,22.46481327,99.63
Qatar,289.004939,14.51
Lesotho,8.139425096,204.7
Mali,7.380830677,226.65
Laos,25.28756589,35.05
Malta,137.2860552,69.98
Tanzania,8.572442511,210.97
Haiti,9.441733112,254.23
Fiji,41.7812969,128.61
Mauritania,16.49698678,157.26
Mauritius,70.10649624,38.9
Luxembourg,366.5997063,37.85
Cyprus,127.5187451,19.91
Guyana,48.07795616,179.29
Somalia,2.822752623,499.58
Suriname,58.7113011,171.37
Madagascar,5.10179165,211.27
Eswatini,27.67404533,193.32
Ghana,17.2555812,85.43
Rwanda,6.944557492,110.65
Bahrain,143.4720183,22.1
Uzbekistan,22.57225368,66.89
Singapore,314.7255223,7.95
Angola,21.48808225,185.88
Cameroon,11.72077214,158.54
Senegal,10.85148154,221.92
New Zealand,139.1288211,11.28
Mongolia,38.74366346,21.62
Yemen,9.116156108,1807.45
Mozambique,4.125060639,96.5
United Arab Emirates,218.4458907,22.59
Kuwait,164.1526696,38.79
Malawi,4.883655058,304.54
Estonia,116.774704,45.25
Botswana,55.78110807,85.49
Montenegro,65.65911437,98.45
Kyrgyzstan,16.3862906,144.88
Cambodia,13.89237075,221.46
Nigeria,16.49698678,118.52
Syria,9.767310115,551.36
Kosovo,36.03160702,117.64
Jamaica,30.60423836,218.52
Albania,43.73475893,107.88
Uganda,7.055253673,214.19
Zambia,11.17705854,120.38
Namibia,31.25539237,240.08
El Salvador,27.67404533,209.63
Norway,208.8022999,28.92
Trinidad and Tobago,82.26354156,230.18
Dominican Republic,57.62712968,67.71
Oman,92.01131706,116.06
Sudan,13.56679375,782.88
Zimbabwe,9.767310115,217.38
Kenya,13.78167457,167.12
Venezuela,32.14747336,106.63
Latvia,98.54239175,63.53
Libya,43.95289552,126.95
Finland,156.3844023,49.54
Algeria,36.68276102,254.03
Slovenia,123.0681075,55.7
Belarus,62.18520773,71.61
Denmark,184.3840246,21.97
Uruguay,73.36226628,75.9
Ethiopia,7.162694085,153.27
Afghanistan,6.618980488,384.23
Ireland,284.1212839,48.19
Panama,95.28662172,85.91
Cuba,39.72039447,76.76
Armenia,42.3250105,195.6
Costa Rica,66.31026837,79.14
Lithuania,118.5100294,74.01
Saudi Arabia,150.7421528,114.35
North Macedonia,52.63603421,277.91
Azerbaijan,45.90635754,120.91
Lebanon,45.36264395,87.87
Honduras,17.90673521,241.45
Israel,127.7336259,25.09
Moldova,40.91526207,200.3
Nepal,12.59006274,120.1
Switzerland,227.9039027,33.09
Jordan,32.45025997,80.84
China,51.76674361,52.24
Australia,159.9657493,15.15
Bosnia and Herzegovina,47.31610597,404.46
Morocco,23.65968087,128.61
Sri Lanka,41.7812969,249.98
Georgia,47.10122515,94.74
Croatia,90.18483007,137.68
Serbia,58.60386069,71.76
Kazakhstan,83.7807304,128.3
Burma,15.84583278,308.17
Paraguay,40.91526207,273.07
Guatemala,27.78148574,174.23
Slovakia,101.2544482,78.01
Sweden,168.7563284,79.36
Austria,176.8957535,38.49
Bolivia,27.45590873,200.43
Netherlands,181.1282545,27.22
Egypt,38.19994986,480.91
Portugal,109.7194503,45.77
Iraq,32.77583698,103.02
Tunisia,33.96744881,255.18
"Korea, South",137.7190726,11.37
Bangladesh,15.19467877,144.54
Pakistan,15.19467877,194.53
Belgium,163.8726733,71.34
Thailand,58.49642028,70.27
Greece,93.54804051,65.04
Ecuador,36.13904743,356.12
Malaysia,89.42623565,74.05
Bulgaria,73.58040287,295.96
Czechia,129.0359339,100.09
Vietnam,25.82802372,37.52
Canada,155.9513848,107.03
Japan,133.9847044,20.76
Hungary,102.7748928,223.85
Chile,79.54822935,128.94
Philippines,27.56660492,160.31
Romania,94.63546771,204.35
South Africa,39.72039447,254.01
Spain,127.3006085,85.18
Ukraine,40.69712548,210.17
Poland,105.2688127,186.28
Argentina,70.10649624,133.74
Colombia,45.90635754,224.79
Iran,41.56641608,191.31
Germany,171.4716406,43.14
France,144.4487493,42.63
Indonesia,37.54879585,243.55
Italy,134.3558622,75.9
United Kingdom,145.4254803,87.22
Peru,40.15341188,521.65
Mexico,62.40334433,464.49
Russia,87.25463703,180.87
India,20.94436866,118.78
Brazil,47.31610597,197.52
