country,total_infections
Afghanistan,203681.00
Albania,333055.00
Algeria,270873.00
Andorra,46588.00
Angola,103131.00
Antigua and Barbuda,9106.00
Argentina,9720232.00
Armenia,445242.00
Australia,10420857.00
Austria,5466250.00
Azerbaijan,823533.00
Bahamas,37386.00
Bahrain,691760.00
Bangladesh,2035828.00
Barbados,103424.00
Belarus,994037.00
Belgium,4617315.00
Belize,68957.00
Benin,27782.00
Bhutan,62380.00
Bolivia,1109601.00
Bosnia and Herzegovina,400043.00
Botswana,326344.00
Brazil,34849063.00
Brunei,241044.00
Bulgaria,1281252.00
Burkina Faso,21631.00
Burma,632274.00
Burundi,50470.00
Cabo Verde,62561.00
Cambodia,137995.00
Cameroon,123629.00
Canada,4384773.00
Central African Republic,15260.00
Chad,7627.00
Chile,4793902.00
China,6003052.00
Colombia,6310332.00
Comoros,8762.00
Congo,118056.00
Costa Rica,1138416.00
Cote d'Ivoire,87830.00
Croatia,1248609.00
Cuba,1111296.00
Cyprus,602662.00
Czechia,4161711.00
Denmark,34658.00
Denmark,3349435.00
Djibouti,15690.00
Dominica,15760.00
Dominican Republic,647425.00
Ecuador,1009044.00
Egypt,515645.00
El Salvador,201785.00
Equatorial Guinea,17174.00
Eritrea,10189.00
Estonia,607300.00
Eswatini,73558.00
Ethiopia,494042.00
Fiji,68270.00
Finland,1360721.00
France,37140238.00
Gabon,48945.00
Gambia,12580.00
Georgia,1785138.00
Germany,35823771.00
Ghana,170894.00
Greece,5188890.00
Grenada,19604.00
Guatemala,1142521.00
Guinea,38047.00
Guinea-Bissau,8848.00
Guyana,71447.00
Haiti,33828.00
Holy See,29.00
Honduras,457196.00
Hungary,2141513.00
Iceland,206571.00
India,44660579.00
Indonesia,6521292.00
Iran,7558142.00
Iraq,2461484.00
Ireland,1673665.00
Israel,4689152.00
Italy,23642011.00
Jamaica,151931.00
Japan,22702370.00
Jordan,1746997.00
Kazakhstan,1484932.00
Kenya,339756.00
Kiribati,3430.00
South Korea,25856909.00
Kosovo,272180.00
Kuwait,662073.00
Kyrgyzstan,206452.00
Laos,216286.00
Latvia,954230.00
Lebanon,1219141.00
Lesotho,34490.00
Liberia,7996.00
Libya,507051.00
Liechtenstein,20663.00
Lithuania,1269772.00
Luxembourg,303025.00
Madagascar,66788.00
Malawi,88099.00
Malaysia,4927451.00
Maldives,185364.00
Mali,32738.00
Malta,115469.00
Marshall Islands,15389.00
Mauritania,63399.00
Mauritius,265301.00
Mexico,7113658.00
Micronesia,22203.00
Moldova,593816.00
Monaco,15005.00
Mongolia,985445.00
Montenegro,283089.00
Morocco,1265998.00
Mozambique,230475.00
Namibia,169946.00
Nauru,4611.00
Nepal,1000734.00
Netherlands,8632865.00
New Zealand,1878933.00
Nicaragua,15186.00
Niger,9428.00
Nigeria,266192.00
North Macedonia,344146.00
Norway,1465631.00
Oman,398775.00
Pakistan,1574407.00
Palau,5513.00
Panama,990413.00
Papua New Guinea,45550.00
Paraguay,717980.00
Peru,4161218.00
Philippines,4009466.00
Poland,6343775.00
Portugal,5525459.00
Qatar,471357.00
Romania,3289184.00
Russia,21158672.00
Rwanda,132584.00
Saint Kitts and Nevis,6549.00
Saint Lucia,29654.00
Saint Vincent and the Grenadines,9459.00
Samoa,15946.00
San Marino,21662.00
Sao Tome and Principe,6270.00
Saudi Arabia,823624.00
Senegal,88679.00
Serbia,2408606.00
Seychelles,49380.00
Sierra Leone,7754.00
Singapore,2123328.00
Slovakia,2645118.00
Slovenia,1237884.00
Solomon Islands,21544.00
Somalia,27243.00
South Africa,4029942.00
South Sudan,18318.00
Spain,13529643.00
Sri Lanka,671328.00
Sudan,63509.00
Suriname,81228.00
Sweden,2614997.00
Switzerland,4255891.00
Syria,57367.00
Taiwan,7887537.00
Tajikistan,17786.00
Tanzania,40054.00
Thailand,4695203.00
Timor-Leste,23303.00
Togo,39311.00
Tonga,16182.00
Trinidad and Tobago,184854.00
Tunisia,1146593.00
Turkey,16919638.00
Tuvalu,23.00
US,97741763.00
Uganda,169473.00
Ukraine,5617810.00
United Arab Emirates,1039353.00
United Kingdom,24155154.00
Uruguay,990560.00
Uzbekistan,244739.00
Vanuatu,11981.00
Venezuela,546110.00
Vietnam,11505849.00
West Bank and Gaza,703036.00
Yemen,11945.00
Zambia,333685.00
Zimbabwe,257893.00
